order_detail_id,transaction_status,created_at,modified_at,payment_date,estimated_delivery_date,receive_date,comment, shippng_fee ,tax_rate,user_id,payment_method_id
1,Ongoing,10/16/2021 11:57:08,2/18/2019 2:59:27,2/4/2019 16:42:11,2/7/2019 16:42:11,2/9/2019 16:42:11,"Fusce consequat. Nulla nisl. Nunc nisl.
Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.", $ 25.00 ,7%,4610,4135
2,Ongoing,8/11/2018 21:42:25,5/10/2017 23:16:17,3/30/2017 1:38:49,4/2/2017 1:38:49,4/4/2017 1:38:49,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.
Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.", $ 10.00 ,7%,823,703
3,Failed,9/29/2020 0:09:31,12/5/2017 22:28:06,10/4/2022 21:46:57,10/7/2022 21:46:57,10/9/2022 21:46:57,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.
Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.
Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.", $ 34.00 ,15%,1160,2259
4,Ongoing,12/23/2018 19:41:14,9/27/2017 12:30:59,12/7/2020 6:02:34,12/10/2020 6:02:34,12/12/2020 6:02:34,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.", $ 17.00 ,10%,2674,2495
5,Failed,2/11/2019 4:40:32,5/10/2020 22:30:17,2/27/2020 10:48:09,3/1/2020 10:48:09,3/3/2020 10:48:09,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.
Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Sed ante. Vivamus tortor. Duis mattis egestas metus.", $ 35.00 ,15%,2739,4703
6,Completed,11/10/2017 1:31:40,6/16/2021 5:42:51,9/20/2019 23:39:06,9/23/2019 23:39:06,9/25/2019 23:39:06,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.
Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.", $ 44.00 ,7%,5528,2050
7,Failed,6/30/2016 15:17:18,8/30/2017 15:18:30,10/3/2021 14:47:35,10/6/2021 14:47:35,10/8/2021 14:47:35,"In congue. Etiam justo. Etiam pretium iaculis justo.
In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.", $ 31.00 ,15%,2405,5026
8,Ongoing,1/15/2017 19:53:27,3/23/2017 11:03:34,4/9/2022 6:50:04,4/12/2022 6:50:04,4/14/2022 6:50:04,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.", $ 34.00 ,10%,3215,6153
9,Failed,1/6/2017 5:01:39,4/6/2018 4:21:40,10/9/2022 17:40:25,10/12/2022 17:40:25,10/14/2022 17:40:25,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.
Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.
Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.", $ 38.00 ,7%,4722,2684
10,Completed,4/29/2022 5:19:20,11/15/2021 13:31:38,6/7/2016 22:24:50,6/10/2016 22:24:50,6/12/2016 22:24:50,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.
Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.", $ 32.00 ,7%,2680,4041
11,Failed,2/19/2019 19:07:21,7/28/2019 1:02:57,1/7/2020 23:32:16,1/10/2020 23:32:16,1/12/2020 23:32:16,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.", $ 44.00 ,7%,297,1151
12,Ongoing,12/26/2020 7:16:11,1/15/2021 14:03:47,2/11/2020 19:24:14,2/14/2020 19:24:14,2/16/2020 19:24:14,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.
Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.", $ 33.00 ,15%,1863,5887
13,Ongoing,8/14/2022 23:13:58,5/18/2022 20:51:40,9/7/2019 23:52:25,9/10/2019 23:52:25,9/12/2019 23:52:25,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum., $ 16.00 ,7%,4707,6055
