product_id,cart_id,quantity
2565,2634,20
578,7097,6
2116,2459,19
613,2559,19
2443,2676,10
2300,957,13
644,840,5
1517,9135,13
814,912,6
47,5734,5
897,5006,3
195,6153,17
2303,729,20
2813,7510,14
1918,8442,15
2038,3750,4
2263,7884,3
2941,5437,4
1593,7124,18
312,1554,10
546,7185,15
938,4857,16
1920,9071,4
717,1002,6
2925,3824,20
1182,9382,2
351,968,8
2220,9917,15
1910,2693,17
2804,1119,18
1315,4860,13
1149,6717,9
2500,6865,7
2150,8710,14
830,9055,20
935,6570,17
928,3354,16
706,4809,16
84,2587,13
2298,3358,14
2692,241,5
2438,8238,4
1114,1845,15
51,9411,3
2106,4316,3
1909,1119,12
1120,1308,20
6,9605,13
2281,2503,6
552,8059,14
625,7735,15
1789,7687,19
1857,3469,10
1819,2621,12
1559,8581,3
1643,411,2
871,8114,5
2866,6209,5
2437,964,6
2523,9473,5
18,8890,10
1739,5823,2
116,7056,1
2019,2106,10
74,8275,17
1893,97,5
2144,5440,4
797,8667,13
1545,6163,7
1107,7533,4
1460,5665,8
1426,9617,20
557,4392,17
2676,6908,11
182,4994,18
1546,4828,3
2729,4208,8
2928,7464,12
2396,2193,8
430,5379,19
188,9052,1
2862,5657,19
263,3072,1
1053,1672,8
2011,750,17
2820,6038,9
2399,6470,19
2789,1999,14
2245,1897,13
767,6098,15
2314,7372,7
861,2553,3
1255,1063,4
1855,8830,2
755,5950,13
1618,3251,18
1391,268,20
1482,2184,3
2088,7431,5
652,3739,4
53,6124,14
145,1586,16
354,7937,13
2661,467,11
2891,7025,20
847,271,7
1331,5675,9
1827,8813,12
1402,8804,7
832,2287,6
2904,5210,18
1313,3906,4
2283,397,9
2831,4757,19
170,4935,13
299,15,15
2859,9232,3
942,9171,8
2093,4306,2
1735,1147,4
462,3268,5
641,6366,13
1124,7938,4
1727,4846,8
1990,2967,4
261,6184,5
2985,8223,18
2209,7105,2
906,1766,11
2612,746,2
886,6785,20
198,8751,14
725,8111,5
191,9797,12
660,7796,14
592,2719,7
2487,5551,1
1690,7613,12
777,2917,14
105,7210,6
2946,9980,10
1247,3630,19
1899,8507,10
2481,1894,17
2108,4674,2
1059,3095,15
1526,579,13
2709,3046,1
400,4502,15
2652,9833,2
415,1985,7
485,8762,11
1105,393,10
2238,511,16
2790,9296,18
2635,7283,5
2778,3930,7
2185,8672,2
2937,3952,9
1700,9833,5
1150,9838,14
681,7246,6
1541,3361,16
1298,4360,1
551,1035,11
1247,251,8
138,2881,1
1270,8108,14
105,6888,17
1715,7943,11
2248,8842,12
8,5031,19
1904,405,13
2805,4841,5
2226,6113,7
1658,8725,13
2054,4162,18
1352,6692,11
1491,1127,14
